Order ID,Customer Name,Food Item,Category,Quantity,Price,Payment Method,Order Time
2268,Mary Vega DDS,Pasta,Main,5,16.52,Cash,2025-02-02 14:28
3082,Brandon Myers,Brownie,Dessert,4,17.27,Debit Card,2025-06-08 10:57
3160,Margaret Wells,Pasta,Main,1,3.37,Credit Card,2025-03-04 07:41
1272,Michael Matthews,Pasta,Main,5,2.2,Online Payment,2025-05-15 12:43
9447,Connor Williams,Soup,Starter,1,12.23,Cash,2025-03-15 14:25
1587,Matthew Miles,Brownie,Dessert,5,7.39,Credit Card,2025-04-12 05:49
2834,Catherine Thompson,Soup,Starter,3,8.31,Credit Card,2025-06-20 18:19
4514,Nathan Holland,Soup,Starter,4,2.28,Cash,2025-05-30 09:24
3946,Anthony Sherman,Pasta,Main,1,13.05,Credit Card,2025-06-03 01:41
3174,Carolyn Roberts,Cake,Dessert,4,19.48,Cash,2025-07-18 00:59
8018,Johnny Dennis,Burger,Main,5,11.79,Debit Card,2025-04-28 08:09
5134,Michael Barton,Cake,Dessert,1,20.73,Online Payment,2025-02-05 00:34
5409,Heidi Boyle,Ice Cream,Dessert,5,4.77,Cash,2025-04-28 08:32
4626,George Smith,Fries,Starter,3,3.44,Credit Card,2025-05-05 08:56
4390,Thomas Frazier,Pizza,Main,1,4.84,Cash,2025-04-22 02:38
9040,David Bailey,Cake,Dessert,5,19.49,Cash,2025-05-21 14:35
5649,Larry Harvey,Salad,Starter,4,21.98,Online Payment,2025-03-14 15:47
7756,Christina Cochran,Brownie,Dessert,1,21.83,Credit Card,2025-07-26 08:22
2857,Aaron Bruce,Salad,Starter,4,4.72,Debit Card,2025-04-22 19:43
8170,Anna Smith,Pasta,Main,3,21.48,Cash,2025-05-28 17:07
2933,Andrew Hill,Fries,Starter,3,20.78,Credit Card,2025-07-30 03:53
3742,Angela Sherman,Burger,Main,2,10.81,Cash,2025-02-20 09:20
8664,Austin Cain,Burger,Main,5,19.78,Debit Card,2025-05-20 16:56
9769,Scott Clark,Burger,Main,2,17.22,Cash,2025-05-28 22:37
9125,Cindy Smith,Fries,Starter,3,16.68,Online Payment,2025-08-04 13:08
1486,Elizabeth Contreras,Fries,Starter,3,15.77,Debit Card,2025-07-11 07:28
4707,Robert Simmons,Soup,Starter,3,24.45,Cash,2025-08-06 13:59
1964,Ana Brooks,Soup,Starter,3,9.86,Cash,2025-01-28 08:49
6828,Jason King,Salad,Starter,4,7.64,Cash,2025-03-02 10:16
2651,Andrew Stephens,Soup,Starter,3,24.99,Online Payment,2025-03-14 12:34
1088,Carol Lynch,Ice Cream,Dessert,1,14.82,Cash,2025-04-12 10:21
6841,Amy Ellis,Brownie,Dessert,5,5.97,Credit Card,2025-08-12 09:36
7606,Kathleen Miranda,Pizza,Main,3,19.67,Debit Card,2025-02-18 20:11
7720,Lynn Smith,Cake,Dessert,1,22.1,Debit Card,2025-01-25 12:55
9332,Michelle Rodriguez,Soup,Starter,3,14.6,Online Payment,2025-01-21 23:18
7106,Emily Mcmillan,Salad,Starter,5,17.38,Cash,2025-06-21 22:04
3007,Gavin Griffin,Ice Cream,Dessert,5,10.42,Online Payment,2025-03-11 15:50
4081,Jennifer Friedman,Cake,Dessert,5,17.18,Online Payment,2025-03-26 08:57
7215,Brittany Hughes,Soup,Starter,1,14.27,Cash,2025-07-30 19:02
8800,Margaret Lopez,Soup,Starter,1,21.58,Cash,2025-06-26 13:08
2121,Lori James,Burger,Main,1,22.48,Online Payment,2025-06-17 13:26
2187,Heather Wheeler,Salad,Starter,2,12.43,Cash,2025-06-05 03:05
9709,Susan Glenn,Cake,Dessert,4,21.78,Cash,2025-06-20 22:28
9211,Richard Lee,Pizza,Main,5,6.59,Cash,2025-08-05 22:33
9271,Jennifer Barron,Salad,Starter,1,7.31,Debit Card,2025-05-15 13:59
4925,Lauren Freeman,Brownie,Dessert,5,12.99,Online Payment,2025-06-26 13:27
4142,Matthew Perry,Ice Cream,Dessert,2,4.37,Online Payment,2025-05-01 01:41
9859,William Rasmussen,Ice Cream,Dessert,5,10.01,Credit Card,2025-03-24 13:55
2951,Anthony Jennings,Fries,Starter,3,22.14,Credit Card,2025-08-07 14:43
9086,James Nixon,Soup,Starter,1,10.32,Online Payment,2025-08-14 07:20
4055,Shannon Young,Salad,Starter,1,10.79,Credit Card,2025-05-09 05:40
1684,Logan Maddox,Cake,Dessert,3,5.18,Debit Card,2025-01-27 14:30
9428,Christina Donovan,Salad,Starter,5,3.53,Debit Card,2025-02-20 07:16
7605,Jessica Burke,Pasta,Main,4,23.55,Credit Card,2025-07-13 12:42
6565,Brandy Lewis,Cake,Dessert,4,6.61,Debit Card,2025-05-30 18:14
6309,Sheri White,Salad,Starter,5,15.44,Online Payment,2025-08-01 17:25
